nido;hora;feed;estado
P10_JMGP12;5;5;Morning
P21_DAG12;5;8;Morning
P51_MASM12;5;1;Morning
P8_JMGP12;5;5;Morning
P9_GVC10;5;35;Morning
P10_JMGP12;6;5;Morning
P21_DAG12;6;4;Morning
P51_MASM12;6;2;Morning
P8_JMGP12;6;5;Morning
P9_GVC10;6;33;Morning
P10_JMGP12;7;1;Morning
P21_DAG12;7;2;Morning
P51_MASM12;7;6;Morning
P8_JMGP12;7;6;Morning
P9_GVC10;7;25;Morning
P10_JMGP12;8;2;Morning
P21_DAG12;8;8;Morning
P51_MASM12;8;2;Morning
P8_JMGP12;8;11;Morning
P9_GVC10;8;29;Morning
P10_JMGP12;9;3;Morning
P21_DAG12;9;8;Morning
P51_MASM12;9;3;Morning
P8_JMGP12;9;10;Morning
P9_GVC10;9;24;Morning
P10_JMGP12;10;3;Morning
P21_DAG12;10;2;Morning
P51_MASM12;10;3;Morning
P8_JMGP12;10;6;Morning
P9_GVC10;10;23;Morning
P10_JMGP12;11;1;Morning
P21_DAG12;11;1;Morning
P51_MASM12;11;3;Morning
P8_JMGP12;11;6;Morning
P9_GVC10;11;16;Morning
P10_JMGP12;12;4;Morning
P21_DAG12;12;2;Morning
P51_MASM12;12;3;Morning
P8_JMGP12;12;8;Morning
P9_GVC10;12;27;Morning
P10_JMGP12;13;5;Afternoon
P21_DAG12;13;4;Afternoon
P51_MASM12;13;5;Afternoon
P8_JMGP12;13;4;Afternoon
P9_GVC10;13;16;Afternoon
P21_DAG12;14;4;Afternoon
P51_MASM12;14;5;Afternoon
P8_JMGP12;14;8;Afternoon
P9_GVC10;14;17;Afternoon
P10_JMGP12;15;1;Afternoon
P21_DAG12;15;3;Afternoon
P5_MASM12;15;2;Afternoon
P51_MASM12;15;4;Afternoon
P8_JMGP12;15;6;Afternoon
P9_GVC10;15;18;Afternoon
P10_JMGP12;16;3;Afternoon
P21_DAG12;16;2;Afternoon
P5_MASM12;16;1;Afternoon
P51_MASM12;16;2;Afternoon
P8_JMGP12;16;9;Afternoon
P9_GVC10;16;16;Afternoon
P10_JMGP12;17;4;Afternoon
P21_DAG12;17;3;Afternoon
P5_MASM12;17;1;Afternoon
P51_MASM12;17;3;Afternoon
P8_JMGP12;17;5;Afternoon
P9_GVC10;17;8;Afternoon
