estado;on;viajes
Early;65,95;7
Early;69,21;9
Early;66,04;8
Early;61,72;6
Early;68,93;4
Early;77,01;3
Early;46,08;3
Early;38,57;3
Early;64,54;8
Early;40,76;8
Early;61,54;4
Early;60,52;9
Early;77,07;5
Early;59,76;8
Early;65,22;6
Early;40,56;4
Early;63,51;8
Early;46,33;7
Early;72,88;6
Early;70,1;8
Early;65,7;5
Early;39,15;3
Early;63,88;4
Early;68,74;5
Early;63,11;5
Early;55,14;4
Early;70,1;6
Early;56,88;5
Early;63,93;8
Early;71,38;7
Early;58,53;6
Early;54,14;6
Early;76,82;6
Middle;65,97;4
Middle;76,99;4
Middle;59,63;5
Middle;64,55;4
Middle;68,01;5
Middle;61,75;8
Middle;66,48;7
Middle;50,1;8
Middle;69,83;5
Middle;66,5;4
Middle;65,97;7
Middle;64,54;8
Middle;43,02;3
Middle;56,6;7
Middle;69,09;6
Middle;51,22;8
Middle;66,19;7
Middle;75,79;6
Middle;69,37;5
Middle;84,11;5
Middle;77,3;6
Middle;62,54;8
Middle;65,97;6
Middle;59,85;4
Middle;71,41;6
Middle;71,66;5
Middle;68,77;5
Middle;75,36;4
Middle;72,64;4
Middle;49,9;4
Middle;73,8;11
Middle;67,4;7
Middle;61,37;7
Middle;65,29;8
Middle;74,9;8
Middle;67,28;8
Middle;72,58;8
Late;64,14;11
Late;76,46;7
Late;63,01;9
Late;54,55;3
Late;78,79;4
Late;52,55;4
Late;72,37;5
Late;62,52;7
Late;55,59;5
Late;66,11;7
Late;69,11;5
Late;67,39;8
Late;66,99;9
Late;66,82;7
Late;68,22;8
Late;56,57;9
Late;74,11;5
Late;69,08;8
Late;65,59;8
Late;79,56;12
Late;48,46;8
Late;65,23;7
Late;70,12;6
Late;65,01;4
Late;68,93;6
Late;72,98;6
Late;74,2;7
Late;66,62;5
Late;71,75;6
Late;69,63;5
Late;72,29;5
Late;62,89;10
