nido;dia;alimentacion
P10_JMGP12;1;7
P10_JMGP12;2;4
P51_MASM12;2;14
P10_JMGP12;3;6
P51_MASM12;3;15
P9_GVC10;3;3
P10_JMGP12;4;20
P51_MASM12;4;13
P8_JMGP12;4;10
P9_GVC10;4;19
P5_MASM12;5;4
P8_JMGP12;5;13
P9_GVC10;5;21
P8_JMGP12;6;7
P9_GVC10;6;21
P21_DAG12;7;4
P8_JMGP12;7;6
P9_GVC10;7;14
P21_DAG12;8;23
P8_JMGP12;8;8
P9_GVC10;8;16
P8_JMGP12;9;9
P9_GVC10;9;40
P21_DAG12;10;5
P8_JMGP12;10;10
P9_GVC10;10;36
P21_DAG12;11;11
P8_JMGP12;11;5
P9_GVC10;11;36
P21_DAG12;12;2
P8_JMGP12;12;6
P9_GVC10;12;23
P21_DAG12;13;4
P8_JMGP12;13;12
P9_GVC10;13;17
P21_DAG12;14;2
P8_JMGP12;14;3
P9_GVC10;14;26
P9_GVC10;15;15
