nido;hora;alimentacion;Thora
P10_JMGP12;5;5;5-6
P21_DAG12;5;8;5-6
P51_MASM12;5;1;5-6
P8_JMGP12;5;5;5-6
P10_JMGP12;6;5;6-7
P21_DAG12;6;4;6-7
P51_MASM12;6;2;6-7
P8_JMGP12;6;5;6-7
P10_JMGP12;7;1;7-8
P21_DAG12;7;2;7-8
P51_MASM12;7;6;7-8
P8_JMGP12;7;6;7-8
P10_JMGP12;8;2;8-9
P21_DAG12;8;8;8-9
P51_MASM12;8;2;8-9
P8_JMGP12;8;11;8-9
P10_JMGP12;9;3;9-10
P21_DAG12;9;8;9-10
P51_MASM12;9;3;9-10
P8_JMGP12;9;10;9-10
P10_JMGP12;10;3;10-11
P21_DAG12;10;2;10-11
P51_MASM12;10;3;10-11
P8_JMGP12;10;6;10-11
P10_JMGP12;11;1;11-12
P21_DAG12;11;1;11-12
P51_MASM12;11;3;11-12
P8_JMGP12;11;6;11-12
P10_JMGP12;12;4;12-13
P21_DAG12;12;2;12-13
P51_MASM12;12;3;12-13
P8_JMGP12;12;8;12-13
P10_JMGP12;13;5;13-14
P21_DAG12;13;4;13-14
P51_MASM12;13;5;13-14
P8_JMGP12;13;4;13-14
P21_DAG12;14;4;14-15
P51_MASM12;14;5;14-15
P8_JMGP12;14;8;14-15
P10_JMGP12;15;1;15-16
P21_DAG12;15;3;15-16
P5_MASM12;15;2;15-16
P51_MASM12;15;4;15-16
P8_JMGP12;15;6;15-16
P10_JMGP12;16;3;16-17
P21_DAG12;16;2;16-17
P5_MASM12;16;1;16-17
P51_MASM12;16;2;16-17
P8_JMGP12;16;9;16-17
P10_JMGP12;17;4;17-18
P21_DAG12;17;3;17-18
P5_MASM12;17;1;17-18
P51_MASM12;17;3;17-18
P8_JMGP12;17;5;17-18
P9_GVC10;17;8;17-18
