Nest;On_bout;trips;state
Tangara schrankii P17_MAL10;65,954414;7;Early
Tangara schrankii P17_MAL10;69,20821;9;Early
Tangara schrankii P17_MAL10;66,037735;8;Early
Tangara schrankii P29_RVA11;61,717613;6;Early
Tangara schrankii P29_RVA11;68,93204;4;Early
Tangara schrankii P53_JAG10;77,01343;3;Early
Tangara schrankii T1_JAG08;46,08295;3;Early
Tangara schrankii T1_JAG08;38,568935;3;Early
Tangara schrankii T1_JAG08;64,541214;8;Early
Tangara schrankii T1_JAG08;40,758293;8;Early
Tangara schrankii T18_MAL09;6,885759;2;Early
Tangara schrankii T18_MAL09;61,53846;4;Early
Tangara schrankii T2_GVC08;60,522278;9;Early
Tangara schrankii T2_KMB08;77,068214;5;Early
Tangara schrankii T2_KMB08;59,763313;8;Early
Tangara schrankii T2_KMB08;65,22436;6;Early
Tangara schrankii T2_SDR08;40,564373;4;Early
Tangara schrankii T2_SDR08;63,513508;8;Early
Tangara schrankii T2_SDR08;46,329533;7;Early
Tangara shrankii P18_RVA11;72,878784;6;Early
Tangara shrankii P22_JPV11;70,09736;8;Early
Tangara shrankii P22_JPV11;65,69768;5;Early
Tangara shrankii P6 JAEC_10;39,147285;3;Early
Tangara shrankii P6 JAEC_10;63,884674;4;Early
Tangara shrankii P6 JAEC_10;68,74028;5;Early
Tangara shrankii P6 JAEC_10;63,11111;5;Early
Tangara shrankii P7_JAG10;55,141846;4;Early
Tangara shrankii P7_JAG10;70,09735;6;Early
Tangara shrankii P7_JAG10;56,882027;5;Early
Tangara shrankii P7_JAG10;63,931892;8;Early
Tangara shrankii P7_JAG10;71,38414;7;Early
Tangara shrankii T3_kmb08;58,528954;6;Early
Tangara shrankii T5_JAG08;54,137447;6;Early
Tangara shrankii T5_JAG08;76,81564;6;Early
Tangara schrankii P13_RVA11;65,970146;4;Meddle
Tangara schrankii P13_RVA11;76,9863;4;Meddle
Tangara schrankii P13_RVA11;59,625214;5;Meddle
Tangara schrankii P13_RVA11;64,553314;4;Meddle
Tangara schrankii P14_JAG10;68,01153;5;Meddle
Tangara schrankii P14_JAG10;61,747852;8;Meddle
Tangara schrankii P24_CAB10;66,48276;7;Meddle
Tangara schrankii P24_CAB10;50,09862;8;Meddle
Tangara schrankii P24_CAB10;69,83051;5;Meddle
Tangara schrankii P24_CAB10;66,50485;4;Meddle
Tangara schrankii P24_CAB10;65,96702;7;Meddle
Tangara schrankii P24_CAB10;64,53901;8;Meddle
Tangara schrankii P3_CAB10;43,024963;3;Meddle
Tangara schrankii P3_CAB10;56,597775;7;Meddle
Tangara schrankii P3_CAB10;69,085175;6;Meddle
Tangara schrankii P3_CAB10;51,223022;8;Meddle
Tangara schrankii P3_CAB10;66,18705;7;Meddle
Tangara schrankii P33_RVA11;75,790924;6;Meddle
Tangara schrankii P33_RVA11;69,366196;5;Meddle
Tangara schrankii P53_JAG10;84,10689;5;Meddle
Tangara schrankii P53_JAG10;77,29884;6;Meddle
Tangara schrankii T1_JAG08;62,539185;8;Meddle
Tangara shrankii P26_RVA11;65,96702;6;Meddle
Tangara shrankii P6 JAEC_10;59,852943;4;Meddle
Tangara shrankii P6 JAEC_10;71,405495;6;Meddle
Tangara shrankii P6 JAEC_10;71,66173;5;Meddle
Tangara shrankii P6 JAEC_10;68,76877;5;Meddle
Tangara shrankii P6 JAEC_10;75,35545;4;Meddle
Tangara shrankii P6 JAEC_10;72,64297;4;Meddle
Tangara shrankii P7_JAG10;49,90099;4;Meddle
Tangara shrankii P7_JAG10;73,798454;11;Meddle
Tangara shrankii P7_JAG10;67,40413;7;Meddle
Tangara shrankii T37_MAL09;61,374043;7;Meddle
Tangara shrankii T37_MAL09;65,28571;8;Meddle
Tangara shrankii T5_JAG08;74,89598;8;Meddle
Tangara shrankii T5_JAG08;67,283066;8;Meddle
Tangara shrankii T5_JAG08;72,578445;8;Meddle
Tangara schranki T1_GVC08;64,13994;11;Final
Tangara schranki T1_GVC08;76,461296;7;Final
Tangara schranki T1_GVC08;63,007523;9;Final
Tangara schrankii P13_RVA11;54,545456;3;Final
Tangara schrankii P13_RVA11;78,79234;4;Final
Tangara schrankii P13_RVA11;52,551987;4;Final
Tangara schrankii P13_RVA11;72,3741;5;Final
Tangara schrankii P13_RVA11;62,51748;7;Final
Tangara schrankii P14_JAG10;55,586586;5;Final
Tangara schrankii P14_JAG10;66,10879;7;Final
Tangara schrankii P14_JAG10;69,11357;5;Final
Tangara schrankii P24_CAB10;67,391304;8;Final
Tangara schrankii P24_CAB10;66,9863;9;Final
Tangara schrankii P24_CAB10;66,820984;7;Final
Tangara schrankii P24_CAB10;68,22157;8;Final
Tangara schrankii P24_CAB10;56,568775;9;Final
Tangara schrankii P3_CAB10;74,10714;5;Final
Tangara schrankii P3_CAB10;69,07692;8;Final
Tangara schrankii P3_CAB10;65,58989;8;Final
Tangara schrankii P3_CAB10;79,558014;12;Final
Tangara schrankii P3_CAB10;48,45869;8;Final
Tangara schrankii P33_RVA11;65,23077;7;Final
Tangara schrankii P33_RVA11;70,120895;6;Final
Tangara schrankii P33_RVA11;65,008575;4;Final
Tangara schrankii P33_RVA11;68,93063;6;Final
Tangara schrankii P33_RVA11;72,976875;6;Final
Tangara schrankii P33_RVA11;74,198044;7;Final
Tangara shrankii P6 JAEC_10;66,618286;5;Final
Tangara shrankii P62_CFV11;71,74515;6;Final
Tangara shrankii T30_MAL08;69,63434;5;Final
Tangara shrankii T30_MAL08;72,28525;5;Final
Tangara shrankii T30_MAL08;62,8882;10;Final
